"FileName","SourcePath"
"kaggle_train_001.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_215.png"
"kaggle_train_002.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_155.png"
"kaggle_train_003.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_35.png"
"kaggle_train_004.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_39.png"
"kaggle_train_005.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_201.png"
"kaggle_train_006.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_10.png"
"kaggle_train_007.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_246.png"
"kaggle_train_008.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_59.png"
"kaggle_train_009.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_57.png"
"kaggle_train_010.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_250.png"
"kaggle_train_011.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_221.png"
"kaggle_train_012.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_117.png"
"kaggle_train_013.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_96.png"
"kaggle_train_014.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_181.png"
"kaggle_train_015.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_243.png"
"kaggle_train_016.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_225.png"
"kaggle_train_017.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_138.png"
"kaggle_train_018.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_173.png"
"kaggle_train_019.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_56.png"
"kaggle_train_020.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_1.png"
"kaggle_train_021.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_105.png"
"kaggle_train_022.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_62.png"
"kaggle_train_023.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_237.png"
"kaggle_train_024.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_140.png"
"kaggle_train_025.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_146.png"
"kaggle_train_026.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_179.png"
"kaggle_train_027.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_162.png"
"kaggle_train_028.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_156.png"
"kaggle_train_029.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_18.png"
"kaggle_train_030.png","D:\ML\computer vision projects\sandstone microstructure (Semantic Segmintation)\tmp_kaggle_download\extracted\images\img_51.png"
